player_name,contract_group,contract_years,contract_value,aav,current_team,contract_note
James Harden,Target Free Agent / Creator Guard,2,81500000,40750000,LAC,"2 years / $81.5M reported contract benchmark"
Damian Lillard,Elite Veteran Creator,3,42000000,14000000,POR,"Returned to Portland context; veteran creator benchmark"
Jrue Holiday,Veteran Two-Way Guard,4,134400000,33600000,POR,"4 years / $134.4M contract benchmark"
Trae Young,High-Usage Primary Creator,5,215159700,43031940,WAS,"Max-level primary creator benchmark"
Jalen Brunson,Elite Lead Guard,4,156500000,39125000,NYK,"Elite lead guard benchmark"
Tyrese Haliburton,Elite Playmaking Guard,5,244623120,48924624,IND,"Elite playmaking guard benchmark"
Ja Morant,Elite Athletic Creator,5,197230450,39446090,MEM,"Max-level creator benchmark"
LaMelo Ball,High-Usage Creator,5,203852600,40770520,CHA,"High-usage creator benchmark"
Darius Garland,Primary Guard,5,197230450,39446090,LAC,"Primary guard benchmark"
Kyrie Irving,Elite Scoring Guard,3,118473846,39491282,DAL,"Elite scoring guard benchmark"
Fred VanVleet,Veteran Lead Guard,3,128539845,42846615,HOU,"Veteran lead guard benchmark"
Kevin Porter Jr.,Bucks Internal Guard,2,10268000,5134000,MIL,"Current Bucks internal guard benchmark"
Ryan Rollins,Bucks Internal Guard,3,12000000,4000000,MIL,"Current Bucks internal guard benchmark"
Gary Trent Jr.,Bucks Internal Guard,1,3697105,3697105,MIL,"Current Bucks internal guard benchmark"
AJ Green,Bucks Internal Guard,4,45000000,11250000,MIL,"Bucks extension benchmark"
